Reference, Value, Footprint, Datasheet
"Conn13","AndersonPP","",""
"C1","10uF","","~"
"U5","OKI 3V3","",""
"C5","10uF","","~"
"U1","TM4C129E_Launchpad","",""
"Conn7","Molex_uF_S_03","MRDT_Connectors:MOLEX_uF_S_03_Horizontal",""
"Conn8","Molex_uF_S_03","MRDT_Connectors:MOLEX_uF_S_03_Horizontal",""
"Conn9","Molex_uF_S_03","MRDT_Connectors:MOLEX_uF_S_03_Horizontal",""
"Conn10","Molex_uF_S_03","MRDT_Connectors:MOLEX_uF_S_03_Horizontal",""
"Conn11","Molex_uF_S_03","MRDT_Connectors:MOLEX_uF_S_03_Horizontal",""
"Conn12","Molex_uF_S_03","MRDT_Connectors:MOLEX_uF_S_03_Horizontal",""
"SW1","SW_Push","","~"
"R1","330","","~"
"LED1","Blue","","~"
"SW2","SW_Push","","~"
"R2","330","","~"
"LED2","Blue","","~"
"SW3","SW_Push","","~"
"R3","330","","~"
"LED3","Blue","","~"
"SW5","SW_Push","","~"
"R5","330","","~"
"LED5","Blue","","~"
"SW6","SW_Push","","~"
"R6","330","","~"
"LED6","Blue","","~"
"SW7","SW_Push","","~"
"R7","330","","~"
"LED7","Blue","","~"
"R4","330","","~"
"LED4","Blue","","~"
"SW4","SW_SPST","","~"
"LED15","Red","","~"
"R16","330","","~"
"R15","330","","~"
"R14","330","","~"
"LED14","Red","","~"
"R13","330","","~"
"LED13","Red","","~"
"R12","330","","~"
"LED12","Red","","~"
"R11","330","","~"
"LED11","Red","","~"
"LED18","Blue","","~"
"R18","500","","~"
"LED24","Blue","","~"
"R24","500","","~"
"R20","500","","~"
"R26","500","","~"
"R19","500","","~"
"R25","500","","~"
"R17","500","","~"
"R23","500","","~"
"LED20","Blue","","~"
"LED26","Blue","","~"
"LED19","Blue","","~"
"LED25","Blue","","~"
"LED17","Blue","","~"
"LED23","Blue","","~"
"LED27","Blue","","~"
"LED21","Blue","","~"
"LED28","Blue","","~"
"R27","500","","~"
"R21","500","","~"
"R28","500","","~"
"LED22","Blue","","~"
"R22","500","","~"
"LED8","Green","","~"
"R8","330","","~"
"LED10","Green","","~"
"R10","1k","","~"
"U2","MAX_3232","",""
"C2","1uF","","~"
"C7","0.1uF","","~"
"C8","0.1uF","","~"
"U3","MAX_3232","",""
"C3","1uF","","~"
"C9","0.1uF","","~"
"C10","0.1uF","","~"
"U4","MAX_3232","",""
"C4","1uF","","~"
"C11","0.1uF","","~"
"C12","0.1uF","","~"
"C6","10uF","","~"
"U6","OKI 5V","",""
"C13","10uF","","~"
"LED9","Green","","~"
"R9","500","","~"
"LED16","Red","","~"
